CNPollinationID,Grid_ID,S_ID,Pollination
P00870,986,987,Beetles
P00872,849,850,Beetles
P00872,353,354,Beetles
P00872,423,424,Beetles
P00872,986,987,Beetles
P00872,231,232,Beetles
P00872,205,206,Beetles
P00872,497,498,Beetles
P00951,1001,1002,Beetles
P00951,373,374,Beetles
P00967,763,764,Beetles
P00967,423,424,Beetles
P00967,808,809,Beetles
P00969,423,424,Beetles
P00987,763,764,Beetles
P00987,562,563,Beetles
P00989,308,309,Beetles
P00989,665,666,Beetles
P00989,227,228,Beetles
P00990,640,641,Beetles
P00990,956,957,Beetles
P00990,1000,1001,Beetles
P00990,1082,1083,Beetles
P01005,177,178,Beetles
P01005,308,309,Beetles
P01005,455,456,Beetles
P01005,665,666,Beetles
P01005,438,439,Beetles
P01005,150,151,Beetles
P01005,104,105,Beetles
P01005,647,648,Beetles
P01005,832,833,Beetles
P01005,956,957,Beetles
P01005,372,373,Beetles
P01005,261,262,Beetles
P01005,910,911,Beetles
P01005,804,805,Beetles
P01005,259,260,Beetles
P01005,172,173,Beetles
P01005,396,397,Beetles
P01005,96,97,Beetles
P01005,655,656,Beetles
P01005,523,524,Beetles
P01006,1079,1080,Beetles
P01048,771,772,Beetles
P01050,496,497,Beetles
P01050,227,228,Beetles
P01054,662,663,Beetles
P01055,662,663,Beetles
P01055,665,666,Beetles
P01055,261,262,Beetles
P01055,259,260,Beetles
P01055,804,805,Beetles
P01055,763,764,Beetles
P01055,562,563,Beetles
P01057,1034,1035,Beetles
P01057,817,818,Beetles
P01061,832,833,Beetles
P01061,227,228,Beetles
P01061,3,4,Beetles
P01061,584,585,Beetles
P01061,899,900,Beetles
P01061,1054,1055,Beetles
P01063,735,736,Beetles
P01063,1034,1035,Beetles
P01063,3,4,Beetles
P01063,496,497,Beetles
P01063,316,317,Beetles
P01063,227,228,Beetles
P01065,3,4,Beetles
P01065,776,777,Beetles
P01065,655,656,Beetles
P01065,562,563,Beetles
P01065,1054,1055,Beetles
P01065,857,858,Beetles
P01065,218,219,Beetles
P01065,261,262,Beetles
P01065,665,666,Beetles
P01065,293,294,Beetles
P01065,316,317,Beetles
P01065,763,764,Beetles
P01065,1034,1035,Beetles
P01080,771,772,Beetles
P01093,697,698,Beetles
P01095,697,698,Beetles
P01095,202,203,Beetles
P01095,682,683,Beetles
P01098,662,663,Beetles
P01104,849,850,Beetles
P01104,231,232,Beetles
P01104,496,497,Beetles
P01104,808,809,Beetles
P01104,182,183,Beetles
P01104,562,563,Beetles
P01104,763,764,Beetles
P01104,227,228,Beetles
P01104,741,742,Beetles
P01104,353,354,Beetles
P01104,822,823,Beetles
P01104,423,424,Beetles
P01104,662,663,Beetles
P01104,549,550,Beetles
P01122,763,764,Beetles
P01133,763,764,Beetles
P01133,822,823,Beetles
P01133,182,183,Beetles
P01133,423,424,Beetles
P01133,562,563,Beetles
P01154,763,764,Beetles
P01156,549,550,Beetles
P01174,231,232,Beetles
P01174,808,809,Beetles
P01174,562,563,Beetles
P01174,763,764,Beetles
P01174,182,183,Beetles
P01174,423,424,Beetles
P01193,182,183,Beetles
P01198,849,850,Beetles
P01198,353,354,Beetles
P01201,150,151,Beetles
P01224,665,666,Beetles
P01225,412,413,Beetles
P01227,330,331,Beetles
P01227,1016,1017,Beetles
P01228,665,666,Beetles
P01228,455,456,Beetles
P01228,308,309,Beetles
P01234,697,698,Beetles
P01234,384,385,Beetles
P01234,849,850,Beetles
P01236,719,720,Beetles
P01236,455,456,Beetles
P01238,763,764,Beetles
P01238,808,809,Beetles
P01238,423,424,Beetles
P01238,562,563,Beetles
P01252,446,447,Beetles
P01259,808,809,Beetles
P01259,1079,1080,Beetles
P01259,231,232,Beetles
P01259,423,424,Beetles
P01259,763,764,Beetles
P01302,562,563,Beetles
P01302,295,296,Beetles
P01325,822,823,Beetles
P01325,455,456,Beetles
P01333,849,850,Beetles
P01333,353,354,Beetles
P01335,455,456,Beetles
P01335,1001,1002,Beetles
P01412,763,764,Beetles
P01412,562,563,Beetles
P01412,423,424,Beetles
P01412,308,309,Beetles
P01412,662,663,Beetles
P01412,665,666,Beetles
P01412,655,656,Beetles
P01412,0,1,Beetles
P01412,474,475,Beetles
P01412,647,648,Beetles
P01412,808,809,Beetles
P01415,562,563,Beetles
P01415,423,424,Beetles
P01415,763,764,Beetles
P01517,1034,1035,Beetles
P01558,808,809,Beetles
P01578,3,4,Beetles
P01580,849,850,Beetles
P01581,849,850,Beetles
P01591,154,155,Beetles
P01591,963,964,Beetles
P01591,665,666,Beetles
P01591,662,663,Beetles
P01641,776,777,Beetles
P01672,353,354,Beetles
P01696,181,182,Beetles
P01719,3,4,Flies
P01722,3,4,Flies
P01747,3,4,Flies
P01747,844,845,Flies
P01765,771,772,Flies
P01765,446,447,Flies
P01779,231,232,Flies
P01779,423,424,Flies
P01780,3,4,Flies
P01780,849,850,Flies
P01780,372,373,Flies
P01786,849,850,Flies
P01787,3,4,Flies
P01787,771,772,Flies
P01787,1001,1002,Flies
P01805,446,447,Flies
P01809,844,845,Flies
P01813,562,563,Flies
P01829,562,563,Flies
P01835,231,232,Flies
P01835,808,809,Flies
P01838,562,563,Flies
P01898,3,4,Flies
P01938,3,4,Flies
P01942,808,809,Flies
P01942,562,563,Flies
P01942,776,777,Flies
P01942,849,850,Flies
P01942,372,373,Flies
P01942,353,354,Flies
P01942,925,926,Flies
P01942,3,4,Flies
P01942,261,262,Flies
P01942,231,232,Flies
P01942,665,666,Flies
P01942,446,447,Flies
P01942,573,574,Flies
P01942,395,396,Flies
P01942,650,651,Flies
P01942,675,676,Flies
P01942,182,183,Flies
P01942,423,424,Flies
P01942,763,764,Flies
P01942,150,151,Flies
P01942,1079,1080,Flies
P01942,1001,1002,Flies
P01949,662,663,Flies
P01950,844,845,Flies
P02227,261,262,Flies
P02227,3,4,Flies
P02227,844,845,Flies
P02300,523,524,Flies
P02300,267,268,Flies
P02315,844,845,Flies
P02416,844,845,Flies
P02594,776,777,Flies
P02594,564,565,Flies
P02594,665,666,Flies
P02594,843,844,Flies
P02594,551,552,Flies
P02597,308,309,Flies
P02597,763,764,Flies
P02599,3,4,Flies
P02604,85,86,Flies
P02616,635,636,Flies
P02616,351,352,Flies
P02616,549,550,Flies
P02616,808,809,Flies
P02650,986,987,Flies
P02664,646,647,Flies
P02664,1034,1035,Flies
P02664,905,906,Flies
P02714,446,447,Flies
P02714,849,850,Flies
P02714,763,764,Flies
P02714,455,456,Flies
P02714,0,1,Flies
P02714,177,178,Flies
P02714,58,59,Flies
P02714,973,974,Flies
P02714,85,86,Flies
P02714,532,533,Flies
P02714,655,656,Flies
P02714,360,361,Flies
P02714,743,744,Flies
P02714,910,911,Flies
P02714,665,666,Flies
P02714,308,309,Flies
P02714,295,296,Flies
P02714,353,354,Flies
P02714,963,964,Flies
P02714,1082,1083,Flies
P02714,746,747,Flies
P02714,573,574,Flies
P02714,919,920,Flies
P02714,459,460,Flies
P02714,218,219,Flies
P02714,523,524,Flies
P02749,776,777,Flies
P02784,562,563,Flies
P02784,763,764,Flies
P02784,182,183,Flies
P02784,423,424,Flies
P02784,231,232,Flies
P02784,808,809,Flies
P02784,919,920,Flies
P02808,849,850,Flies
P02808,808,809,Flies
P02808,562,563,Flies
P02834,1034,1035,Flies
P02867,763,764,Flies
P02867,808,809,Flies
P02867,231,232,Flies
P02867,562,563,Flies
P02905,353,354,Flies
P02905,154,155,Flies
P02905,849,850,Flies
P02905,808,809,Flies
P02914,3,4,Flies
P02916,490,491,Flies
P02919,817,818,Flies
P02921,3,4,Flies
P02921,817,818,Flies
P02922,662,663,Flies
P02922,1004,1005,Flies
P02922,640,641,Flies
P02930,665,666,Flies
P02930,259,260,Flies
P02930,308,309,Flies
P02930,727,728,Flies
P02930,662,663,Flies
P02930,1050,1051,Flies
P02930,3,4,Flies
P02930,96,97,Flies
P02930,655,656,Flies
P02930,956,957,Flies
P02930,1034,1035,Flies
P02930,1004,1005,Flies
P02930,817,818,Flies
P02930,496,497,Flies
P02930,905,906,Flies
P02947,1043,1044,Flies
P02947,675,676,Flies
P02959,817,818,Flies
P02968,1034,1035,Flies
P02975,1034,1035,Flies
P02975,81,82,Flies
P02975,3,4,Flies
P02975,817,818,Flies
P02988,3,4,Flies
P02988,395,396,Flies
P03018,353,354,Flies
P03018,849,850,Flies
P03018,438,439,Flies
P03018,808,809,Flies
P03018,562,563,Flies
P03018,665,666,Flies
P03018,763,764,Flies
P03018,986,987,Flies
P03018,1050,1051,Flies
P03018,423,424,Flies
P03018,497,498,Flies
P03018,919,920,Flies
P03018,459,460,Flies
P03028,905,906,Flies
P03029,849,850,Flies
P03029,353,354,Flies
P03029,365,366,Flies
P03043,438,439,Flies
P03043,665,666,Flies
P03077,446,447,Flies
P03126,963,964,Flies
P03126,573,574,Flies
P03126,372,373,Flies
P03126,776,777,Flies
P03126,665,666,Flies
P03126,910,911,Flies
P03126,925,926,Flies
P03126,3,4,Flies
P03126,261,262,Flies
P03126,70,71,Flies
P03126,374,375,Flies
P03126,822,823,Flies
P03126,40,41,Flies
P03126,77,78,Flies
P03126,1034,1035,Flies
P03126,309,310,Flies
P03126,298,299,Flies
P03126,1007,1008,Flies
P03126,118,119,Flies
P03126,1004,1005,Flies
P03128,274,275,Flies
P03128,525,526,Flies
P03128,665,666,Flies
P03128,308,309,Flies
P03128,259,260,Flies
P03132,3,4,Flies
P03139,3,4,Flies
P03139,455,456,Flies
P03149,3,4,Flies
P03151,396,397,Flies
P03152,919,920,Flies
P03152,995,996,Flies
P03152,849,850,Flies
P03152,986,987,Flies
P03154,261,262,Flies
P03154,96,97,Flies
P03154,0,1,Flies
P03155,919,920,Flies
P03162,647,648,Flies
P03162,919,920,Flies
P03162,96,97,Flies
P03162,995,996,Flies
P03162,298,299,Flies
P03162,849,850,Flies
P03162,743,744,Flies
P03162,986,987,Flies
P03166,0,1,Flies
P03166,1001,1002,Flies
P03168,919,920,Flies
P03168,353,354,Flies
P03168,0,1,Flies
P03181,771,772,Flies
P03181,1034,1035,Flies
P03181,416,417,Flies
P03181,728,729,Flies
P03181,1007,1008,Flies
P03181,967,968,Flies
P03182,1001,1002,Flies
P03182,590,591,Flies
P03182,308,309,Flies
P03182,309,310,Flies
P03182,298,299,Flies
P03185,562,563,Flies
P03190,1001,1002,Flies
P03192,423,424,Flies
P03192,3,4,Flies
P03192,573,574,Flies
P03192,768,769,Flies
P03192,1027,1028,Flies
P03192,776,777,Flies
P03192,1054,1055,Flies
P03192,150,151,Flies
P03192,1004,1005,Flies
P03192,261,262,Flies
P03192,1061,1062,Flies
P03192,808,809,Flies
P03192,446,447,Flies
P03192,231,232,Flies
P03192,562,563,Flies
P03192,384,385,Flies
P03192,372,373,Flies
P03192,941,942,Flies
P03192,552,553,Flies
P03192,760,761,Flies
P03192,1034,1035,Flies
P03192,1043,1044,Flies
P03192,665,666,Flies
P03192,154,155,Flies
P03192,353,354,Flies
P03192,849,850,Flies
P03192,293,294,Flies
P03192,919,920,Flies
P03192,763,764,Flies
P03192,1001,1002,Flies
P03192,832,833,Flies
P03192,412,413,Flies
P03192,124,125,Flies
P03192,597,598,Flies
P03192,974,975,Flies
P03192,59,60,Flies
P03192,269,270,Flies
P03192,836,837,Flies
P03192,927,928,Flies
P03192,227,228,Flies
P03192,308,309,Flies
P03192,396,397,Flies
P03192,349,350,Flies
P03192,96,97,Flies
P03192,298,299,Flies
P03192,347,348,Flies
P03192,844,845,Flies
P03192,295,296,Flies
P03192,956,957,Flies
P03193,1001,1002,Flies
P03193,455,456,Flies
P03193,0,1,Flies
P03194,309,310,Flies
P03194,1007,1008,Flies
P03195,573,574,Flies
P03195,274,275,Flies
P03195,1034,1035,Flies
P03195,3,4,Flies
P03195,1001,1002,Flies
P03195,396,397,Flies
P03195,746,747,Flies
P03195,298,299,Flies
P03195,309,310,Flies
P03195,114,115,Flies
P03195,475,476,Flies
P03195,316,317,Flies
P03195,353,354,Flies
P03195,1007,1008,Flies
P03196,231,232,Flies
P03196,808,809,Flies
P03196,308,309,Flies
P03196,573,574,Flies
P03196,423,424,Flies
P03196,562,563,Flies
P03196,154,155,Flies
P03196,640,641,Flies
P03196,1050,1051,Flies
P03196,202,203,Flies
P03196,995,996,Flies
P03196,353,354,Flies
P03196,412,413,Flies
P03196,1001,1002,Flies
P03196,564,565,Flies
P03196,355,356,Flies
P03196,1004,1005,Flies
P03196,455,456,Flies
P03196,956,957,Flies
P03197,1001,1002,Flies
P03198,308,309,Flies
P03198,384,385,Flies
P03198,665,666,Flies
P03198,118,119,Flies
P03198,295,296,Flies
P03198,1001,1002,Flies
P03203,649,650,Flies
P03203,1033,1034,Flies
P03203,1065,1066,Flies
P03204,1051,1052,Flies
P03204,786,787,Flies
P03204,1033,1034,Flies
P03219,274,275,Flies
P03219,562,563,Flies
P03219,665,666,Flies
P03219,849,850,Flies
P03219,168,169,Flies
P03219,919,920,Flies
P03219,457,458,Flies
P03219,776,777,Flies
P03219,353,354,Flies
P03219,446,447,Flies
P03219,1004,1005,Flies
P03219,832,833,Flies
P03219,182,183,Flies
P03219,662,663,Flies
P03219,1001,1002,Flies
P03219,114,115,Flies
P03219,516,517,Flies
P03219,395,396,Flies
P03219,295,296,Flies
P03223,849,850,Flies
P03223,412,413,Flies
P03223,0,1,Flies
P03223,746,747,Flies
P03224,412,413,Flies
P03226,995,996,Flies
P03226,295,296,Flies
P03227,353,354,Flies
P03227,849,850,Flies
P03228,849,850,Flies
P03228,446,447,Flies
P03231,181,182,Flies
P03235,1026,1027,Flies
P03239,396,397,Flies
P03239,295,296,Flies
P03245,697,698,Flies
P03251,1026,1027,Flies
P03251,590,591,Flies
P03252,295,296,Flies
P03254,412,413,Flies
P03262,295,296,Flies
P03269,349,350,Flies
P03269,124,125,Flies
P03269,1075,1076,Flies
P03269,974,975,Flies
P03272,919,920,Flies
P03272,144,145,Flies
P03272,438,439,Flies
P03272,743,744,Flies
P03272,0,1,Flies
P03272,295,296,Flies
P03272,1001,1002,Flies
P03274,849,850,Flies
P03274,349,350,Flies
P03274,136,137,Flies
P03274,974,975,Flies
P03276,927,928,Flies
P03276,796,797,Flies
P03277,1079,1080,Flies
P03277,353,354,Flies
P03277,575,576,Flies
P03277,857,858,Flies
P03277,808,809,Flies
P03277,573,574,Flies
P03277,849,850,Flies
P03277,295,296,Flies
P03277,298,299,Flies
P03277,631,632,Flies
P03277,351,352,Flies
P03277,395,396,Flies
P03277,455,456,Flies
P03277,956,957,Flies
P03278,0,1,Flies
P03278,849,850,Flies
P03278,647,648,Flies
P03278,995,996,Flies
P03279,590,591,Flies
P03279,136,137,Flies
P03279,927,928,Flies
P03279,1007,1008,Flies
P03279,1078,1079,Flies
P03279,760,761,Flies
P03280,3,4,Flies
P03280,412,413,Flies
P03280,647,648,Flies
P03280,665,666,Flies
P03280,298,299,Flies
P03280,516,517,Flies
P03280,455,456,Flies
P03280,1001,1002,Flies
P03282,562,563,Flies
P03282,573,574,Flies
P03282,274,275,Flies
P03282,763,764,Flies
P03282,261,262,Flies
P03282,808,809,Flies
P03282,665,666,Flies
P03282,662,663,Flies
P03282,308,309,Flies
P03282,96,97,Flies
P03282,746,747,Flies
P03282,298,299,Flies
P03282,353,354,Flies
P03284,0,1,Flies
P03284,3,4,Flies
P03284,808,809,Flies
P03284,771,772,Flies
P03284,849,850,Flies
P03284,562,563,Flies
P03284,261,262,Flies
P03284,776,777,Flies
P03284,335,336,Flies
P03284,353,354,Flies
P03284,763,764,Flies
P03284,665,666,Flies
P03284,360,361,Flies
P03284,499,500,Flies
P03284,662,663,Flies
P03284,446,447,Flies
P03284,295,296,Flies
P03284,416,417,Flies
P03284,1007,1008,Flies
P03284,316,317,Flies
P03284,1004,1005,Flies
P03286,3,4,Flies
P03286,631,632,Flies
P03286,1078,1079,Flies
P03286,760,761,Flies
P03286,395,396,Flies
P03354,974,975,Flies
P03354,269,270,Flies
P03354,124,125,Flies
P03354,1007,1008,Flies
P03354,347,348,Flies
P03360,640,641,Flies
P03360,905,906,Flies
P03380,3,4,Flies
P03391,3,4,Flies
P03391,412,413,Flies
P03391,746,747,Flies
P03392,3,4,Flies
P03397,430,431,Flies
P03397,1034,1035,Flies
P03397,1051,1052,Flies
P03397,606,607,Flies
P03397,1001,1002,Flies
P03397,836,837,Flies
P03397,124,125,Flies
P03397,114,115,Flies
P03397,347,348,Flies
P03397,967,968,Flies
P03398,353,354,Flies
P03402,986,987,Flies
P03402,808,809,Flies
P03402,231,232,Flies
P03403,423,424,Flies
P03403,231,232,Flies
P03403,808,809,Flies
P03403,763,764,Flies
P03403,562,563,Flies
P03403,1079,1080,Flies
P03403,182,183,Flies
P03403,299,300,Flies
P03403,986,987,Flies
P03404,665,666,Flies
P03404,135,136,Flies
P03404,177,178,Flies
P03405,808,809,Flies
P03407,808,809,Flies
P03407,423,424,Flies
P03407,353,354,Flies
P03407,697,698,Flies
P03407,412,413,Flies
P03407,743,744,Flies
P03410,308,309,Flies
P03410,3,4,Flies
P03410,261,262,Flies
P03410,665,666,Flies
P03410,910,911,Flies
P03410,154,155,Flies
P03410,804,805,Flies
P03410,395,396,Flies
P03410,372,373,Flies
P03410,776,777,Flies
P03410,1026,1027,Flies
P03410,124,125,Flies
P03415,423,424,Flies
P03422,763,764,Flies
P03422,423,424,Flies
P03426,1034,1035,Flies
P03427,372,373,Flies
P03427,776,777,Flies
P03432,734,735,Flies
P03448,423,424,Flies
P03454,849,850,Flies
P03454,353,354,Flies
P03489,353,354,Flies
P03489,849,850,Flies
P03489,423,424,Flies
P03492,635,636,Flies
P03500,58,59,Flies
P03530,295,296,Flies
P03530,549,550,Flies
P03530,65,66,Flies
P03734,665,666,Flies
P03734,549,550,Flies
P03734,562,563,Flies
P03745,58,59,Flies
P03759,675,676,Flies
P03771,65,66,Flies
P03773,65,66,Flies
P03800,1001,1002,Flies
P03814,665,666,Flies
P03814,549,550,Flies
P03836,58,59,Flies
P03837,1001,1002,Flies
P03841,58,59,Flies
P03841,849,850,Flies
P03841,65,66,Flies
P03841,1001,1002,Flies
P03842,549,550,Flies
P03844,58,59,Flies
P03847,1001,1002,Flies
P03850,58,59,Flies
P03851,697,698,Flies
P03851,384,385,Flies
P03851,212,213,Flies
P03851,1015,1016,Flies
P03851,687,688,Flies
P03851,485,486,Flies
P03852,384,385,Flies
P03852,697,698,Flies
P03852,212,213,Flies
P03852,1015,1016,Flies
P03854,58,59,Flies
P03854,549,550,Flies
P03854,562,563,Flies
P03863,988,989,Flies
P03863,914,915,Flies
P03884,384,385,Flies
P03884,212,213,Flies
P03884,687,688,Flies
P03884,697,698,Flies
P03894,665,666,Flies
P03894,549,550,Flies
P03923,3,4,Flies
P03937,1001,1002,Flies
P03949,1001,1002,Flies
P03949,743,744,Flies
P03958,1001,1002,Flies
P03961,675,676,Flies
P03961,65,66,Flies
P03963,743,744,Flies
P03963,665,666,Flies
P03963,549,550,Flies
P03963,1001,1002,Flies
P04008,844,845,Flies
P04025,697,698,Flies
P04025,384,385,Flies
P04025,212,213,Flies
P04025,1015,1016,Flies
P04025,485,486,Flies
P04189,474,475,Flies
P04189,3,4,Flies
P04189,844,845,Flies
P04283,3,4,Flies
P04684,808,809,Flies
P04719,808,809,Flies
P04803,808,809,Flies
P04815,3,4,Flies
P04815,549,550,Flies
P04815,1034,1035,Flies
P04876,261,262,Flies
P04877,550,551,Flies
P04894,44,45,Flies
P04902,808,809,Flies
P04904,808,809,Flies
P04913,808,809,Flies
P04957,844,845,Flies
P04971,573,574,Flies
P04986,3,4,Flies
P04988,844,845,Flies
P05018,269,270,Flies
P05018,607,608,Flies
P05022,308,309,Flies
P05029,986,987,Flies
P05049,551,552,Flies
P05050,82,83,Flies
P05082,231,232,Flies
P05104,455,456,Flies
P05144,308,309,Flies
P05156,697,698,Flies
P05157,697,698,Flies
P05157,807,808,Flies
P05173,423,424,Flies
P05173,808,809,Flies
P05173,763,764,Flies
P05173,562,563,Flies
P05190,27,28,Flies
P05319,808,809,Flies
P05319,763,764,Flies
P05319,423,424,Flies
P05319,697,698,Flies
P05319,551,552,Flies
P05326,808,809,Flies
P05326,182,183,Flies
P05326,423,424,Flies
P05335,231,232,Flies
P05335,675,676,Flies
P05335,808,809,Flies
P05335,697,698,Flies
P05335,182,183,Flies
P05335,353,354,Flies
P05335,65,66,Flies
P05335,423,424,Flies
P05339,463,464,Flies
P05343,463,464,Flies
P05345,647,648,Flies
P05352,446,447,Flies
P05428,3,4,Flies
P05428,844,845,Flies
P05428,1001,1002,Flies
P05451,562,563,Flies
P05463,1079,1080,Flies
P05463,808,809,Flies
P05463,849,850,Flies
P05463,665,666,Flies
P05463,259,260,Flies
P05463,887,888,Flies
P05463,1004,1005,Flies
P05463,551,552,Flies
P05463,45,46,Flies
P05463,802,803,Flies
P05552,339,340,Flies
P05568,339,340,Flies
P05608,339,340,Flies
P05927,849,850,Flies
P06088,697,698,Flies
P06228,763,764,Flies
P06228,231,232,Flies
P06347,697,698,Flies
P06347,995,996,Flies
P06348,995,996,Flies
P06349,995,996,Flies
P06350,808,809,Flies
P06351,190,191,Flies
P06372,1001,1002,Flies
P06373,1001,1002,Flies
P06374,1001,1002,Flies
P06375,1001,1002,Flies
P06376,1001,1002,Flies
P06377,1001,1002,Flies
P06404,776,777,Flies
P06404,1001,1002,Flies
P06404,562,563,Flies
P06429,562,563,Flies
P06436,573,574,Flies
P06471,573,574,Flies
P06479,1001,1002,Flies
P06479,182,183,Flies
P06507,446,447,Flies
P06507,573,574,Flies
P06507,3,4,Flies
P06507,353,354,Flies
P06507,562,563,Flies
P06507,776,777,Flies
P06507,849,850,Flies
P06507,1001,1002,Flies
P06559,697,698,Flies
P06574,776,777,Flies
P06574,3,4,Flies
P06586,3,4,Flies
P06586,573,574,Flies
P06586,1034,1035,Flies
P06586,776,777,Flies
P06586,1001,1002,Flies
P06589,776,777,Flies
P06589,562,563,Flies
P06590,1001,1002,Flies
P06651,1001,1002,Flies
P06652,1001,1002,Flies
P06654,1001,1002,Flies
P06655,1001,1002,Flies
P06656,1001,1002,Flies
